,Prioritized,CBS,Distributed
0,"18.2,4.489988864128729,0.024095535278320312","17.8125,5.860020797744664,1.3625907897949219",20.545454545454547
1,,"18.11111111111111,6.354253945970096,2.217336416244507",18.95
2,,"17.384615384615383,5.084493190664843,0.1015479564666748",20.75
3,,"17.5625,5.662030885645185,0.5152771472930908",20.55
4,,,19.0
5,,,22.05
6,,,20.36842105263158
7,,,18.26086956521739
8,,,18.40909090909091
9,,,19.61904761904762
10,,,19.375
11,,,19.565217391304348
12,,,19.952380952380953
13,,,21.95
14,,,21.05
15,,,19.227272727272727
16,,,20.0
17,,,20.3
18,,,20.526315789473685
19,,,20.823529411764707
20,,,17.136363636363637
21,,,19.285714285714285
22,,,20.88888888888889
23,,,22.666666666666668
24,,,20.285714285714285
25,,,17.705882352941178
26,,,20.083333333333332
27,,,20.818181818181817
28,,,19.272727272727273
29,,,18.3
30,,,18.476190476190474
31,,,20.304347826086957
32,,,24.0
33,,,23.09090909090909
34,,,"19.677419354838708,5.342387389331656,1.503035068511963"
35,,,"19.208333333333332,4.3106376816223175,0.983736515045166"
